udm,ru
Монэ адӟемпотостэм карись Мынэсьтым Атайме но адӟемпотостэм каре,"Я ненавистный город , я отец и ненавистен делать"
Мон Атай доры мынӥсько »,я иду около отца
Ум валаське мар верамзэ »,"не понял , что говорил вчера сегодня не понял , что говорил"
"Гожтэмын вал : « Иисус Назорей , иудейёслэн Эксэйзы »",В Писании написано лошадь Иисуса иудея царя
Нокызьы но уз,И никак не
Священной Гожтэмын шуэмын :,Писание сказало священное Писание
"Ум , нокызьы но ум",И никак не
Нокин но уз,И никто не
Нокин но уз,И никто не
Нокин но уг,И никто не
Кызьы Священной Гожтэмын шуо :,Как священное Писание сказало
Быръемъёс шедьтӥзы,Выбирал выбирал
Яке малы тон браттэ ултӥяськод ?,Или зачем ты унизил брата
Эшшо шуэмын на :,Ещ сказал Ещ ещ
"Кытысен , кытчы мынӥськод ?",Куда идти
